id,name,total,1 sao,2 sao,3 sao,4 sao,5 sao,link shopee
13821802514,Nệm lò xo Vua Nệm Therapedic Therawrap Ultra kết hợp công nghệ Hourglass Support nâng đỡ 5 vùng cơ thể,1,0,0,0,0,1,https://shopee.vn/Nệm-lò-xo-Vua-Nệm-Therapedic-Therawrap-Ultra-kết-hợp-công-nghệ-Hourglass-Support-nâng-đỡ-5-vùng-cơ-thể-i.179124960.13821802514
8267905545,"Gối Foam Aeroflow Nhật Bản fCloud 43x63cm mềm mại nâng đỡ, phân tán lực đều bảo hành bởi Vua Nệm",1,0,0,0,0,1,"https://shopee.vn/Gối-Foam-Aeroflow-Nhật-Bản-fCloud-43x63cm-mềm-mại-nâng-đỡ,-phân-tán-lực-đều-bảo-hành-bởi-Vua-Nệm-i.179124960.8267905545"
9877003253,Nệm Foam Amando Comodo Luxury thiết kế chuyển động tiên tiến hiện tại êm dịu thoáng mát bảo hành bởi Vua Nệm,1,0,0,0,0,1,https://shopee.vn/Nệm-Foam-Amando-Comodo-Luxury-thiết-kế-chuyển-động-tiên-tiến-hiện-tại-êm-dịu-thoáng-mát-bảo-hành-bởi-Vua-Nệm-i.179124960.9877003253
8181067156,Nệm Foam Inoac Aeroflow Wave,2,0,0,0,0,2,https://shopee.vn/Nệm-Foam-Inoac-Aeroflow-Wave-i.179124960.8181067156
14001566304,Combo Nệm Lò xo Goodnight 4Stars và Bộ ga chun Arena Promo hoa 4CT 521,0,0,0,0,0,0,https://shopee.vn/Combo-Nệm-Lò-xo-Goodnight-4Stars-và-Bộ-ga-chun-Arena-Promo-hoa-4CT-521-i.179124960.14001566304
15502205193,Chăn Chần Amando Dream Họa Tiết C31 200x220cm,0,0,0,0,0,0,https://shopee.vn/Chăn-Chần-Amando-Dream-Họa-Tiết-C31-200x220cm-i.179124960.15502205193
13628376018,Đệm Foam Goodnight Luna 3zones 120*200*20 (cm),1,0,0,0,0,1,https://shopee.vn/Đệm-Foam-Goodnight-Luna-3zones-120*200*20-(cm)-i.179124960.13628376018
13833089965,Bộ ga chun Vua Nệm Arena Promo hoa 4CT 521,20,1,0,0,1,18,https://shopee.vn/Bộ-ga-chun-Vua-Nệm-Arena-Promo-hoa-4CT-521-i.179124960.13833089965
14802198795,"Vỏ gối Amando Faren cực kỳ mềm mịn, hút ẩm mồ hôi trên cơ thể",2,0,0,0,0,2,"https://shopee.vn/Vỏ-gối-Amando-Faren-cực-kỳ-mềm-mịn,-hút-ẩm-mồ-hôi-trên-cơ-thể-i.179124960.14802198795"
8277077505,Nệm lò xo Dunlopillo Grimsby dày 28cm bảo vệ cột sống toàn diện bảo hành bởi Vua Nệm,0,0,0,0,0,0,https://shopee.vn/Nệm-lò-xo-Dunlopillo-Grimsby-dày-28cm-bảo-vệ-cột-sống-toàn-diện-bảo-hành-bởi-Vua-Nệm-i.179124960.8277077505
14902215706,Topper Foam Aeroflow đa năng VUA NEM,2,0,0,0,0,2,https://shopee.vn/Topper-Foam-Aeroflow-đa-năng-VUA-NEM-i.179124960.14902215706
8167979952,Gối nằm lông vũ tự nhiên Doona Dream Cloud 70% 45x65cm cực kì êm ái bảo hành bởi Vua Nệm,1,0,0,0,1,0,https://shopee.vn/Gối-nằm-lông-vũ-tự-nhiên-Doona-Dream-Cloud-70%-45x65cm-cực-kì-êm-ái-bảo-hành-bởi-Vua-Nệm-i.179124960.8167979952
8277103573,Nệm lò xo Dunlopillo Elizabeth có thêm lớp cao su Talalay Dunlopillo mềm mại CHÍNH HÃNG bảo hành bởi Vua Nệm,0,0,0,0,0,0,https://shopee.vn/Nệm-lò-xo-Dunlopillo-Elizabeth-có-thêm-lớp-cao-su-Talalay-Dunlopillo-mềm-mại-CHÍNH-HÃNG-bảo-hành-bởi-Vua-Nệm-i.179124960.8277103573
8277304831,Nệm lò xo Dunlopillo Royal Kensington cao cấp dày 38cm công nghệ Nano bạc khử khuẩn bảo hành bởi Vua Nệm,0,0,0,0,0,0,https://shopee.vn/Nệm-lò-xo-Dunlopillo-Royal-Kensington-cao-cấp-dày-38cm-công-nghệ-Nano-bạc-khử-khuẩn-bảo-hành-bởi-Vua-Nệm-i.179124960.8277304831
8377335703,Nệm lò xo tròn Dunlopillo Circle of Life sở hữu hệ thống lò xo IPS honeycomb bảo hành bởi Vua Nệm,0,0,0,0,0,0,https://shopee.vn/Nệm-lò-xo-tròn-Dunlopillo-Circle-of-Life-sở-hữu-hệ-thống-lò-xo-IPS-honeycomb-bảo-hành-bởi-Vua-Nệm-i.179124960.8377335703
8877918949,Giường vải GoBy Funi One nỉ cao cấp đem lại cảm giác thư giản được bảo hành bởi VUA NỆM,0,0,0,0,0,0,https://shopee.vn/Giường-vải-GoBy-Funi-One-nỉ-cao-cấp-đem-lại-cảm-giác-thư-giản-được-bảo-hành-bởi-VUA-NỆM-i.179124960.8877918949
8777401412,Nệm cao su Dunlopillo World ECO sở hữu 3 lớp cao su đặc biệt bảo hành bởi Vua Nệm,0,0,0,0,0,0,https://shopee.vn/Nệm-cao-su-Dunlopillo-World-ECO-sở-hữu-3-lớp-cao-su-đặc-biệt-bảo-hành-bởi-Vua-Nệm-i.179124960.8777401412
9290822923,Ga chun Amando 4Stars 100% Cotton cao cấp bảo hành bởi Vua Nệm,0,0,0,0,0,0,https://shopee.vn/Ga-chun-Amando-4Stars-100%-Cotton-cao-cấp-bảo-hành-bởi-Vua-Nệm-i.179124960.9290822923
